'Elapsed time','ECG'
'0:00.047',-0.028
'0:00.048',-0.028
'0:00.048',-0.035
'0:00.049',-0.035
'0:00.049',-0.035
'0:00.050',-0.035
'0:00.050',-0.015
'0:00.051',-0.015
'0:00.051',-0.015
'0:00.052',-0.015
'0:00.052',-0.028
'0:00.053',-0.028
'0:00.053',-0.028
'0:00.054',-0.028
'0:00.054',-0.028
'0:00.055',-0.028
'0:00.055',-0.028
'0:00.056',-0.028
'0:00.056',-0.037
'0:00.057',-0.037
'0:00.057',-0.037
'0:00.058',-0.037
'0:00.058',-0.031
'0:00.059',-0.031
'0:00.059',-0.031
'0:00.060',-0.031
'0:00.060',-0.026
'0:00.061',-0.026
'0:00.061',-0.026
'0:00.062',-0.026
'0:00.063',-0.018
'0:00.063',-0.018
'0:00.064',-0.018
'0:00.064',-0.018
'0:00.065',-0.024
'0:00.065',-0.024
'0:00.066',-0.024
'0:00.066',-0.024
'0:00.067',-0.033
'0:00.067',-0.033
'0:00.068',-0.033
'0:00.068',-0.033
'0:00.069',-0.024
'0:00.069',-0.024
'0:00.070',-0.024
'0:00.070',-0.024
'0:00.071',-0.026
'0:00.071',-0.026
'0:00.072',-0.026
'0:00.072',-0.026
'0:00.073',-0.029
'0:00.073',-0.029
'0:00.074',-0.029
'0:00.074',-0.029
'0:00.075',-0.023
'0:00.075',-0.023
'0:00.076',-0.023
'0:00.076',-0.023
'0:00.077',-0.034
'0:00.077',-0.034
'0:00.078',-0.034
'0:00.078',-0.034
'0:00.079',-0.029
'0:00.079',-0.029
'0:00.080',-0.029
'0:00.080',-0.029
'0:00.081',-0.034
'0:00.081',-0.034
'0:00.082',-0.034
'0:00.082',-0.034
'0:00.083',-0.032
'0:00.083',-0.032
'0:00.084',-0.032
'0:00.084',-0.032
'0:00.085',-0.027
'0:00.085',-0.027
'0:00.086',-0.027
'0:00.086',-0.027
'0:00.087',-0.026
'0:00.087',-0.026
'0:00.088',-0.026
'0:00.088',-0.026
'0:00.089',-0.022
'0:00.089',-0.022
'0:00.090',-0.022
'0:00.090',-0.022
'0:00.091',-0.024
'0:00.091',-0.024
'0:00.092',-0.024
'0:00.092',-0.024
'0:00.093',-0.017
'0:00.093',-0.017
'0:00.094',-0.017
'0:00.094',-0.017
'0:00.095',-0.031
'0:00.095',-0.031
'0:00.096',-0.031
'0:00.096',-0.031
'0:00.097',-0.033
'0:00.097',-0.033
'0:00.098',-0.033
'0:00.098',-0.033
'0:00.099',-0.020
'0:00.099',-0.020
'0:00.100',-0.020
'0:00.100',-0.020
'0:00.101',-0.018
'0:00.101',-0.018
'0:00.102',-0.018
'0:00.102',-0.018
'0:00.103',-0.029
'0:00.103',-0.029
'0:00.104',-0.029
'0:00.104',-0.029
'0:00.105',-0.026
'0:00.105',-0.026
'0:00.106',-0.026
'0:00.106',-0.026
'0:00.107',-0.034
'0:00.107',-0.034
'0:00.108',-0.034
'0:00.108',-0.034
'0:00.109',-0.020
'0:00.109',-0.020
'0:00.110',-0.020
'0:00.110',-0.020
'0:00.111',-0.023
'0:00.111',-0.023
'0:00.112',-0.023
'0:00.112',-0.023
'0:00.113',-0.035
'0:00.113',-0.035
'0:00.114',-0.035
'0:00.114',-0.035
'0:00.115',-0.032
'0:00.115',-0.032
'0:00.116',-0.032
'0:00.116',-0.032
'0:00.117',-0.017
'0:00.117',-0.017
'0:00.118',-0.017
'0:00.118',-0.017
'0:00.119',-0.015
'0:00.119',-0.015
'0:00.120',-0.015
'0:00.120',-0.015
'0:00.121',-0.010
'0:00.121',-0.010
'0:00.122',-0.010
'0:00.122',-0.010
'0:00.123',-0.026
'0:00.123',-0.026
'0:00.124',-0.026
'0:00.124',-0.026
'0:00.125',-0.026
'0:00.126',-0.026
'0:00.126',-0.026
'0:00.127',-0.026
'0:00.127',-0.037
'0:00.128',-0.037
'0:00.128',-0.037
'0:00.129',-0.037
'0:00.129',-0.023
'0:00.130',-0.023
'0:00.130',-0.023
'0:00.131',-0.023
'0:00.131',-0.029
'0:00.132',-0.029
'0:00.132',-0.029
'0:00.133',-0.029
'0:00.133',-0.011
'0:00.134',-0.011
'0:00.134',-0.011
'0:00.135',-0.011
'0:00.135',-0.035
'0:00.136',-0.035
'0:00.136',-0.035
'0:00.137',-0.035
'0:00.137',-0.011
'0:00.138',-0.011
'0:00.138',-0.011
'0:00.139',-0.011
'0:00.139',-0.007
'0:00.140',-0.007
'0:00.140',-0.007
'0:00.141',-0.007
'0:00.141',-0.020
'0:00.142',-0.020
'0:00.142',-0.020
'0:00.143',-0.020
'0:00.143',-0.021
'0:00.144',-0.021
'0:00.144',-0.021
'0:00.145',-0.021
'0:00.145',-0.004
'0:00.146',-0.004
'0:00.146',-0.004
'0:00.147',-0.004
'0:00.147',-0.002
'0:00.148',-0.002
'0:00.148',-0.002
'0:00.149',-0.002
'0:00.149',-0.011
'0:00.150',-0.011
'0:00.150',-0.011
'0:00.151',-0.011
'0:00.151',-0.023
'0:00.152',-0.023
'0:00.152',-0.023
'0:00.153',-0.023
'0:00.153',-0.007
'0:00.154',-0.007
'0:00.154',-0.007
'0:00.155',-0.007
'0:00.155',-0.004
'0:00.156',-0.004
'0:00.156',-0.004
'0:00.157',-0.004
'0:00.157',0.002
'0:00.158',0.002
'0:00.158',0.002
'0:00.159',0.002
'0:00.159',0.001
'0:00.160',0.001
'0:00.160',0.001
'0:00.161',0.001
'0:00.161',-0.009
'0:00.162',-0.009
'0:00.162',-0.009
'0:00.163',-0.009
'0:00.163',-0.001
'0:00.164',-0.001
'0:00.164',-0.001
'0:00.165',-0.001
'0:00.165',-0.013
'0:00.166',-0.013
'0:00.166',-0.013
'0:00.167',-0.013
'0:00.167',0.006
'0:00.168',0.006
'0:00.168',0.006
'0:00.169',0.006
'0:00.169',-0.020
'0:00.170',-0.020
'0:00.170',-0.020
'0:00.171',-0.020
'0:00.171',-0.007
'0:00.172',-0.007
'0:00.172',-0.007
'0:00.173',-0.007
'0:00.173',-0.017
'0:00.174',-0.017
'0:00.174',-0.017
'0:00.175',-0.017
'0:00.175',-0.024
'0:00.176',-0.024
'0:00.176',-0.024
'0:00.177',-0.024
'0:00.177',-0.032
'0:00.178',-0.032
'0:00.178',-0.032
'0:00.179',-0.032
'0:00.179',-0.034
'0:00.180',-0.034
'0:00.180',-0.034
'0:00.181',-0.034
'0:00.181',-0.037
'0:00.182',-0.037
'0:00.182',-0.037
'0:00.183',-0.037
'0:00.183',-0.022
'0:00.184',-0.022
'0:00.184',-0.022
'0:00.185',-0.022
'0:00.185',-0.024
'0:00.186',-0.024
'0:00.186',-0.024
'0:00.187',-0.024
'0:00.188',-0.027
'0:00.188',-0.027
'0:00.189',-0.027
'0:00.189',-0.027
'0:00.190',-0.015
'0:00.190',-0.015
'0:00.191',-0.015
'0:00.191',-0.015
'0:00.192',-0.032
'0:00.192',-0.032
'0:00.193',-0.032
'0:00.193',-0.032
'0:00.194',-0.028
'0:00.194',-0.028
'0:00.195',-0.028
'0:00.195',-0.028
'0:00.196',-0.018
'0:00.196',-0.018
'0:00.197',-0.018
'0:00.197',-0.018
'0:00.198',-0.021
'0:00.198',-0.021
'0:00.199',-0.021
'0:00.199',-0.021
'0:00.200',-0.021
'0:00.200',-0.021
'0:00.201',-0.021
'0:00.201',-0.021
'0:00.202',-0.011
'0:00.202',-0.011
'0:00.203',-0.011
'0:00.203',-0.011
'0:00.204',-0.033
'0:00.204',-0.033
'0:00.205',-0.033
'0:00.205',-0.033
'0:00.206',-0.039
'0:00.206',-0.039
'0:00.207',-0.039
'0:00.207',-0.039
'0:00.208',-0.021
'0:00.208',-0.021
'0:00.209',-0.021
'0:00.209',-0.021
'0:00.210',-0.009
'0:00.210',-0.009
'0:00.211',-0.009
'0:00.211',-0.009
'0:00.212',-0.026
'0:00.212',-0.026
'0:00.213',-0.026
'0:00.213',-0.026
'0:00.214',-0.027
'0:00.214',-0.027
'0:00.215',-0.027
'0:00.215',-0.027
'0:00.216',-0.011
'0:00.216',-0.011
'0:00.217',-0.011
'0:00.217',-0.011
'0:00.218',-0.007
'0:00.218',-0.007
'0:00.219',-0.007
'0:00.219',-0.007
'0:00.220',-0.017
'0:00.220',-0.017
'0:00.221',-0.017
'0:00.221',-0.017
'0:00.222',-0.017
'0:00.222',-0.017
'0:00.223',-0.017
'0:00.223',-0.017
'0:00.224',-0.016
'0:00.224',-0.016
'0:00.225',-0.016
'0:00.225',-0.016
'0:00.226',-0.024
'0:00.226',-0.024
'0:00.227',-0.024
'0:00.227',-0.024
'0:00.228',-0.012
'0:00.228',-0.012
'0:00.229',-0.012
'0:00.229',-0.012
'0:00.230',-0.020
'0:00.230',-0.020
'0:00.231',-0.020
'0:00.231',-0.020
'0:00.232',-0.013
'0:00.232',-0.013
'0:00.233',-0.013
'0:00.233',-0.013
'0:00.234',-0.016
'0:00.234',-0.016
'0:00.235',-0.016
'0:00.235',-0.016
'0:00.236',-0.033
'0:00.236',-0.033
'0:00.237',-0.033
'0:00.237',-0.033
'0:00.238',-0.018
'0:00.238',-0.018
'0:00.239',-0.018
'0:00.239',-0.018
'0:00.240',-0.023
'0:00.240',-0.023
'0:00.241',-0.023
'0:00.241',-0.023
'0:00.242',-0.018
'0:00.242',-0.018
'0:00.243',-0.018
'0:00.243',-0.018
'0:00.244',-0.016
'0:00.244',-0.016
'0:00.245',-0.016
'0:00.245',-0.016
'0:00.246',-0.013
'0:00.246',-0.013
'0:00.247',-0.013
'0:00.247',-0.013
'0:00.248',-0.026
'0:00.248',-0.026
'0:00.249',-0.026
'0:00.249',-0.026
'0:00.250',-0.035
'0:00.251',-0.035
'0:00.251',-0.035
'0:00.252',-0.035
'0:00.252',-0.033
'0:00.253',-0.033
'0:00.253',-0.033
'0:00.254',-0.033
'0:00.254',-0.024
'0:00.255',-0.024
'0:00.255',-0.024
'0:00.256',-0.024
'0:00.256',-0.023
'0:00.257',-0.023
'0:00.257',-0.023
'0:00.258',-0.023
'0:00.258',-0.033
'0:00.259',-0.033
'0:00.259',-0.033
'0:00.260',-0.033
'0:00.260',-0.029
'0:00.261',-0.029
'0:00.261',-0.029
'0:00.262',-0.029
'0:00.262',-0.039
'0:00.263',-0.039
'0:00.263',-0.039
'0:00.264',-0.039
'0:00.264',-0.034
'0:00.265',-0.034
'0:00.265',-0.034
'0:00.266',-0.034
'0:00.266',-0.021
'0:00.267',-0.021
'0:00.267',-0.021
'0:00.268',-0.021
'0:00.268',-0.017
'0:00.269',-0.017
'0:00.269',-0.017
'0:00.270',-0.017
'0:00.270',-0.021
'0:00.271',-0.021
'0:00.271',-0.021
'0:00.272',-0.021
'0:00.272',-0.024
'0:00.273',-0.024
'0:00.273',-0.024
'0:00.274',-0.024
'0:00.274',0.001
'0:00.275',0.001
'0:00.275',0.001
'0:00.276',0.001
'0:00.276',0.018
'0:00.277',0.018
'0:00.277',0.018
'0:00.278',0.018
'0:00.278',0.038
'0:00.279',0.038
'0:00.279',0.038
'0:00.280',0.038
'0:00.280',0.062
'0:00.281',0.062
'0:00.281',0.062
'0:00.282',0.062
'0:00.282',0.078
'0:00.283',0.078
'0:00.283',0.078
'0:00.284',0.078
'0:00.284',0.095
'0:00.285',0.095
'0:00.285',0.095
'0:00.286',0.095
'0:00.286',0.111
'0:00.287',0.111
'0:00.287',0.111
'0:00.288',0.111
'0:00.288',0.106
'0:00.289',0.106
'0:00.289',0.106
'0:00.290',0.106
'0:00.290',0.100
'0:00.291',0.100
'0:00.291',0.100
'0:00.292',0.100
'0:00.292',0.040
'0:00.293',0.040
'0:00.293',0.040
'0:00.294',0.040
'0:00.294',-0.067
'0:00.295',-0.067
'0:00.295',-0.067
'0:00.296',-0.067
'0:00.296',-0.260
'0:00.297',-0.260
'0:00.297',-0.260
'0:00.298',-0.260
'0:00.298',-0.459
'0:00.299',-0.459
'0:00.299',-0.459
'0:00.300',-0.459
'0:00.300',-0.704
'0:00.301',-0.704
'0:00.301',-0.704
'0:00.302',-0.704
'0:00.302',-0.967
'0:00.303',-0.967
'0:00.303',-0.967
'0:00.304',-0.967
'0:00.304',-1.196
'0:00.305',-1.196
'0:00.305',-1.196
'0:00.306',-1.196
'0:00.306',-1.367
'0:00.307',-1.367
'0:00.307',-1.367
'0:00.308',-1.367
'0:00.308',-1.464
'0:00.309',-1.464
'0:00.309',-1.464
'0:00.310',-1.464
'0:00.310',-1.452
'0:00.311',-1.452
'0:00.311',-1.452
'0:00.312',-1.452
'0:00.313',-1.337
'0:00.313',-1.337
'0:00.314',-1.337
'0:00.314',-1.337
'0:00.315',-1.214
'0:00.315',-1.214
'0:00.316',-1.214
'0:00.316',-1.214
'0:00.317',-1.071
'0:00.317',-1.071
'0:00.318',-1.071
'0:00.318',-1.071
'0:00.319',-0.884
'0:00.319',-0.884
'0:00.320',-0.884
'0:00.320',-0.884
'0:00.321',-0.639
'0:00.321',-0.639
'0:00.322',-0.639
'0:00.322',-0.639
'0:00.323',-0.360
'0:00.323',-0.360
'0:00.324',-0.360
'0:00.324',-0.360
'0:00.325',-0.198
'0:00.325',-0.198
'0:00.326',-0.198
'0:00.326',-0.198
'0:00.327',-0.112
'0:00.327',-0.112
'0:00.328',-0.112
'0:00.328',-0.112
'0:00.329',-0.078
'0:00.329',-0.078
'0:00.330',-0.078
'0:00.330',-0.078
'0:00.331',-0.056
'0:00.331',-0.056
'0:00.332',-0.056
'0:00.332',-0.056
'0:00.333',-0.031
'0:00.333',-0.031
'0:00.334',-0.031
'0:00.334',-0.031
'0:00.335',-0.016
'0:00.335',-0.016
'0:00.336',-0.016
'0:00.336',-0.016
'0:00.337',-0.007
'0:00.337',-0.007
'0:00.338',-0.007
'0:00.338',-0.007
'0:00.339',-0.005
'0:00.339',-0.005
'0:00.340',-0.005
'0:00.340',-0.005
'0:00.341',0.005
'0:00.341',0.005
'0:00.342',0.005
'0:00.342',0.005
'0:00.343',0.016
'0:00.343',0.016
'0:00.344',0.016
'0:00.344',0.016
'0:00.345',0.013
'0:00.345',0.013
'0:00.346',0.013
'0:00.346',0.013
'0:00.347',0.039
'0:00.347',0.039
'0:00.348',0.039
'0:00.348',0.039
'0:00.349',0.034
'0:00.349',0.034
'0:00.350',0.034
'0:00.350',0.034
'0:00.351',0.027
'0:00.351',0.027
'0:00.352',0.027
'0:00.352',0.027
'0:00.353',0.045
'0:00.353',0.045
'0:00.354',0.045
'0:00.354',0.045
'0:00.355',0.038
'0:00.355',0.038
'0:00.356',0.038
'0:00.356',0.038
'0:00.357',0.050
'0:00.357',0.050
'0:00.358',0.050
'0:00.358',0.050
'0:00.359',0.046
'0:00.359',0.046
'0:00.360',0.046
'0:00.360',0.046
'0:00.361',0.051
'0:00.361',0.051
'0:00.362',0.051
'0:00.362',0.051
'0:00.363',0.063
'0:00.363',0.063
'0:00.364',0.063
'0:00.364',0.063
'0:00.365',0.056
'0:00.365',0.056
'0:00.366',0.056
'0:00.366',0.056
'0:00.367',0.051
'0:00.367',0.051
'0:00.368',0.051
'0:00.368',0.051
'0:00.369',0.066
'0:00.369',0.066
'0:00.370',0.066
'0:00.370',0.066
'0:00.371',0.066
'0:00.371',0.066
'0:00.372',0.066
'0:00.372',0.066
'0:00.373',0.065
'0:00.373',0.065
'0:00.374',0.065
'0:00.374',0.065
'0:00.375',0.074
'0:00.376',0.074
'0:00.376',0.074
'0:00.377',0.074
'0:00.377',0.055
'0:00.378',0.055
'0:00.378',0.055
'0:00.379',0.055
'0:00.379',0.068
'0:00.380',0.068
'0:00.380',0.068
'0:00.381',0.068
'0:00.381',0.062
'0:00.382',0.062
'0:00.382',0.062
'0:00.383',0.062
'0:00.383',0.067
'0:00.384',0.067
'0:00.384',0.067
'0:00.385',0.067
'0:00.385',0.060
'0:00.386',0.060
'0:00.386',0.060
'0:00.387',0.060
'0:00.387',0.059
'0:00.388',0.059
'0:00.388',0.059
'0:00.389',0.059
'0:00.389',0.060
'0:00.390',0.060
'0:00.390',0.060
'0:00.391',0.060
'0:00.391',0.061
'0:00.392',0.061
'0:00.392',0.061
'0:00.393',0.061
'0:00.393',0.071
'0:00.394',0.071
'0:00.394',0.071
'0:00.395',0.071
'0:00.395',0.061
'0:00.396',0.061
'0:00.396',0.061
'0:00.397',0.061
'0:00.397',0.066
'0:00.398',0.066
'0:00.398',0.066
'0:00.399',0.066
'0:00.399',0.055
'0:00.400',0.055
'0:00.400',0.055
'0:00.401',0.055
'0:00.401',0.063
'0:00.402',0.063
'0:00.402',0.063
'0:00.403',0.063
'0:00.403',0.049
'0:00.404',0.049
'0:00.404',0.049
'0:00.405',0.049
'0:00.405',0.062
'0:00.406',0.062
'0:00.406',0.062
'0:00.407',0.062
'0:00.407',0.081
'0:00.408',0.081
'0:00.408',0.081
'0:00.409',0.081
'0:00.409',0.055
'0:00.410',0.055
'0:00.410',0.055
'0:00.411',0.055
'0:00.411',0.056
'0:00.412',0.056
'0:00.412',0.056
'0:00.413',0.056
'0:00.413',0.055
'0:00.414',0.055
'0:00.414',0.055
'0:00.415',0.055
'0:00.415',0.062
'0:00.416',0.062
'0:00.416',0.062
'0:00.417',0.062
'0:00.417',0.061
'0:00.418',0.061
'0:00.418',0.061
'0:00.419',0.061
'0:00.419',0.055
'0:00.420',0.055
'0:00.420',0.055
'0:00.421',0.055
'0:00.421',0.061
'0:00.422',0.061
'0:00.422',0.061
'0:00.423',0.061
'0:00.423',0.072
'0:00.424',0.072
'0:00.424',0.072
'0:00.425',0.072
'0:00.425',0.044
'0:00.426',0.044
'0:00.426',0.044
'0:00.427',0.044
'0:00.427',0.055
'0:00.428',0.055
'0:00.428',0.055
'0:00.429',0.055
'0:00.429',0.057
'0:00.430',0.057
'0:00.430',0.057
'0:00.431',0.057
'0:00.431',0.054
'0:00.432',0.054
'0:00.432',0.054
'0:00.433',0.054
'0:00.433',0.049
'0:00.434',0.049
'0:00.434',0.049
'0:00.435',0.049
'0:00.435',0.061
'0:00.436',0.061
'0:00.436',0.061
'0:00.437',0.061
'0:00.438',0.054
'0:00.438',0.054
'0:00.439',0.054
'0:00.439',0.054
'0:00.440',0.060
'0:00.440',0.060
'0:00.441',0.060
'0:00.441',0.060
'0:00.442',0.061
'0:00.442',0.061
'0:00.443',0.061
'0:00.443',0.061
'0:00.444',0.054
'0:00.444',0.054
'0:00.445',0.054
'0:00.445',0.054
'0:00.446',0.054
'0:00.446',0.054
'0:00.447',0.054
'0:00.447',0.054
'0:00.448',0.067
'0:00.448',0.067
'0:00.449',0.067
'0:00.449',0.067
'0:00.450',0.061
'0:00.450',0.061
'0:00.451',0.061
'0:00.451',0.061
'0:00.452',0.065
'0:00.452',0.065
'0:00.453',0.065
'0:00.453',0.065
'0:00.454',0.067
'0:00.454',0.067
'0:00.455',0.067
'0:00.455',0.067
'0:00.456',0.057
'0:00.456',0.057
'0:00.457',0.057
'0:00.457',0.057
'0:00.458',0.063
'0:00.458',0.063
'0:00.459',0.063
'0:00.459',0.063
'0:00.460',0.057
'0:00.460',0.057
'0:00.461',0.057
'0:00.461',0.057
'0:00.462',0.052
'0:00.462',0.052
'0:00.463',0.052
'0:00.463',0.052
'0:00.464',0.055
'0:00.464',0.055
'0:00.465',0.055
'0:00.465',0.055
'0:00.466',0.049
'0:00.466',0.049
'0:00.467',0.049
'0:00.467',0.049
'0:00.468',0.067
'0:00.468',0.067
'0:00.469',0.067
'0:00.469',0.067
'0:00.470',0.061
'0:00.470',0.061
'0:00.471',0.061
'0:00.471',0.061
'0:00.472',0.056
'0:00.472',0.056
'0:00.473',0.056
'0:00.473',0.056
'0:00.474',0.050
'0:00.474',0.050
'0:00.475',0.050
'0:00.475',0.050
'0:00.476',0.055
'0:00.476',0.055
'0:00.477',0.055
'0:00.477',0.055
'0:00.478',0.049
'0:00.478',0.049
'0:00.479',0.049
'0:00.479',0.049
'0:00.480',0.050
'0:00.480',0.050
'0:00.481',0.050
'0:00.481',0.050
'0:00.482',0.054
'0:00.482',0.054
'0:00.483',0.054
'0:00.483',0.054
'0:00.484',0.063
'0:00.484',0.063
'0:00.485',0.063
'0:00.485',0.063
'0:00.486',0.048
'0:00.486',0.048
'0:00.487',0.048
'0:00.487',0.048
'0:00.488',0.057
'0:00.488',0.057
'0:00.489',0.057
'0:00.489',0.057
'0:00.490',0.040
'0:00.490',0.040
'0:00.491',0.040
'0:00.491',0.040
'0:00.492',0.060
'0:00.492',0.060
'0:00.493',0.060
'0:00.493',0.060
'0:00.494',0.048
'0:00.494',0.048
'0:00.495',0.048
'0:00.495',0.048
'0:00.496',0.032
'0:00.496',0.032
'0:00.497',0.032
'0:00.497',0.032
'0:00.498',0.044
'0:00.498',0.044
'0:00.499',0.044
'0:00.499',0.044
'0:00.500',0.038
'0:00.501',0.038
'0:00.501',0.038
'0:00.502',0.038
'0:00.502',0.035
'0:00.503',0.035
'0:00.503',0.035
'0:00.504',0.035
'0:00.504',0.040
'0:00.505',0.040
'0:00.505',0.040
'0:00.506',0.040
'0:00.506',0.032
'0:00.507',0.032
'0:00.507',0.032
'0:00.508',0.032
'0:00.508',0.015
'0:00.509',0.015
'0:00.509',0.015
'0:00.510',0.015
'0:00.510',0.023
'0:00.511',0.023
'0:00.511',0.023
'0:00.512',0.023
'0:00.512',0.035
'0:00.513',0.035
'0:00.513',0.035
'0:00.514',0.035
'0:00.514',0.012
'0:00.515',0.012
'0:00.515',0.012
'0:00.516',0.012
'0:00.516',0.016
'0:00.517',0.016
'0:00.517',0.016
'0:00.518',0.016
'0:00.518',0.022
'0:00.519',0.022
'0:00.519',0.022
'0:00.520',0.022
'0:00.520',0.006
'0:00.521',0.006
'0:00.521',0.006
'0:00.522',0.006
'0:00.522',-0.007
'0:00.523',-0.007
'0:00.523',-0.007
'0:00.524',-0.007
'0:00.524',-0.004
'0:00.525',-0.004
'0:00.525',-0.004
'0:00.526',-0.004
'0:00.526',-0.013
'0:00.527',-0.013
'0:00.527',-0.013
'0:00.528',-0.013
'0:00.528',-0.027
'0:00.529',-0.027
'0:00.529',-0.027
'0:00.530',-0.027
'0:00.530',-0.026
'0:00.531',-0.026
'0:00.531',-0.026
'0:00.532',-0.026
'0:00.532',-0.033
'0:00.533',-0.033
'0:00.533',-0.033
'0:00.534',-0.033
'0:00.534',-0.043
'0:00.535',-0.043
'0:00.535',-0.043
'0:00.536',-0.043
'0:00.536',-0.033
'0:00.537',-0.033
'0:00.537',-0.033
'0:00.538',-0.033
'0:00.538',-0.044
'0:00.539',-0.044
'0:00.539',-0.044
'0:00.540',-0.044
'0:00.540',-0.048
'0:00.541',-0.048
'0:00.541',-0.048
'0:00.542',-0.048
'0:00.542',-0.042
'0:00.543',-0.042
'0:00.543',-0.042
'0:00.544',-0.042
'0:00.544',-0.046
'0:00.545',-0.046
'0:00.545',-0.046
'0:00.546',-0.046
'0:00.546',-0.046
'0:00.547',-0.046
'0:00.547',-0.046
'0:00.548',-0.046
'0:00.548',-0.032
'0:00.549',-0.032
'0:00.549',-0.032
'0:00.550',-0.032
'0:00.550',-0.032
'0:00.551',-0.032
'0:00.551',-0.032
'0:00.552',-0.032
'0:00.552',-0.037
'0:00.553',-0.037
'0:00.553',-0.037
'0:00.554',-0.037
'0:00.554',-0.027
'0:00.555',-0.027
'0:00.555',-0.027
'0:00.556',-0.027
'0:00.556',-0.044
'0:00.557',-0.044
'0:00.557',-0.044
'0:00.558',-0.044
'0:00.558',-0.031
'0:00.559',-0.031
'0:00.559',-0.031
'0:00.560',-0.031
'0:00.560',-0.031
'0:00.561',-0.031
'0:00.561',-0.031
'0:00.562',-0.031
'0:00.563',-0.021
'0:00.563',-0.021
'0:00.564',-0.021
'0:00.564',-0.021
'0:00.565',-0.042
'0:00.565',-0.042
'0:00.566',-0.042
'0:00.566',-0.042
'0:00.567',-0.027
'0:00.567',-0.027
'0:00.568',-0.027
'0:00.568',-0.027
'0:00.569',-0.021
'0:00.569',-0.021
'0:00.570',-0.021
'0:00.570',-0.021
'0:00.571',-0.027
'0:00.571',-0.027
'0:00.572',-0.027
'0:00.572',-0.027
'0:00.573',-0.022
'0:00.573',-0.022
'0:00.574',-0.022
'0:00.574',-0.022
'0:00.575',-0.009
'0:00.575',-0.009
'0:00.576',-0.009
'0:00.576',-0.009
'0:00.577',-0.010
'0:00.577',-0.010
'0:00.578',-0.010
'0:00.578',-0.010
'0:00.579',-0.027
'0:00.579',-0.027
'0:00.580',-0.027
'0:00.580',-0.027
'0:00.581',-0.004
'0:00.581',-0.004
'0:00.582',-0.004
'0:00.582',-0.004
'0:00.583',0.002
'0:00.583',0.002
'0:00.584',0.002
'0:00.584',0.002
'0:00.585',-0.017
'0:00.585',-0.017
'0:00.586',-0.017
'0:00.586',-0.017
'0:00.587',-0.015
'0:00.587',-0.015
'0:00.588',-0.015
'0:00.588',-0.015
'0:00.589',-0.018
'0:00.589',-0.018
'0:00.590',-0.018
'0:00.590',-0.018
'0:00.591',-0.004
'0:00.591',-0.004
'0:00.592',-0.004
'0:00.592',-0.004
'0:00.593',0.004
'0:00.593',0.004
'0:00.594',0.004
'0:00.594',0.004
'0:00.595',0.006
'0:00.595',0.006
'0:00.596',0.006
'0:00.596',0.006
'0:00.597',-0.002
'0:00.597',-0.002
'0:00.598',-0.002
'0:00.598',-0.002
'0:00.599',-0.007
'0:00.599',-0.007
'0:00.600',-0.007
'0:00.600',-0.007
'0:00.601',-0.013
'0:00.601',-0.013
'0:00.602',-0.013
'0:00.602',-0.013
'0:00.603',-0.001
'0:00.603',-0.001
