'Elapsed time','ii'
'0:00.261',-0.337
'0:00.262',-0.338
'0:00.263',-0.337
'0:00.264',-0.335
'0:00.265',-0.333
'0:00.266',-0.331
'0:00.267',-0.328
'0:00.268',-0.330
'0:00.269',-0.324
'0:00.270',-0.327
'0:00.271',-0.338
'0:00.272',-0.336
'0:00.273',-0.335
'0:00.274',-0.334
'0:00.275',-0.329
'0:00.276',-0.330
'0:00.277',-0.333
'0:00.278',-0.329
'0:00.279',-0.325
'0:00.280',-0.331
'0:00.281',-0.334
'0:00.282',-0.333
'0:00.283',-0.334
'0:00.284',-0.338
'0:00.285',-0.339
'0:00.286',-0.342
'0:00.287',-0.338
'0:00.288',-0.330
'0:00.289',-0.335
'0:00.290',-0.337
'0:00.291',-0.333
'0:00.292',-0.335
'0:00.293',-0.339
'0:00.294',-0.334
'0:00.295',-0.328
'0:00.296',-0.329
'0:00.297',-0.331
'0:00.298',-0.329
'0:00.299',-0.327
'0:00.300',-0.330
'0:00.301',-0.333
'0:00.302',-0.333
'0:00.303',-0.332
'0:00.304',-0.336
'0:00.305',-0.336
'0:00.306',-0.330
'0:00.307',-0.337
'0:00.308',-0.346
'0:00.309',-0.342
'0:00.310',-0.331
'0:00.311',-0.328
'0:00.312',-0.340
'0:00.313',-0.344
'0:00.314',-0.338
'0:00.315',-0.337
'0:00.316',-0.333
'0:00.317',-0.331
'0:00.318',-0.329
'0:00.319',-0.327
'0:00.320',-0.323
'0:00.321',-0.318
'0:00.322',-0.326
'0:00.323',-0.334
'0:00.324',-0.330
'0:00.325',-0.328
'0:00.326',-0.334
'0:00.327',-0.334
'0:00.328',-0.335
'0:00.329',-0.332
'0:00.330',-0.325
'0:00.331',-0.332
'0:00.332',-0.337
'0:00.333',-0.318
'0:00.334',-0.301
'0:00.335',-0.319
'0:00.336',-0.302
'0:00.337',-0.294
'0:00.338',-0.320
'0:00.339',-0.307
'0:00.340',-0.306
'0:00.341',-0.313
'0:00.342',-0.306
'0:00.343',-0.305
'0:00.344',-0.305
'0:00.345',-0.305
'0:00.346',-0.304
'0:00.347',-0.310
'0:00.348',-0.311
'0:00.349',-0.301
'0:00.350',-0.304
'0:00.351',-0.306
'0:00.352',-0.300
'0:00.353',-0.303
'0:00.354',-0.299
'0:00.355',-0.293
'0:00.356',-0.296
'0:00.357',-0.287
'0:00.358',-0.285
'0:00.359',-0.285
'0:00.360',-0.281
'0:00.361',-0.293
'0:00.362',-0.288
'0:00.363',-0.274
'0:00.364',-0.279
'0:00.365',-0.283
'0:00.366',-0.284
'0:00.367',-0.285
'0:00.368',-0.285
'0:00.369',-0.282
'0:00.370',-0.273
'0:00.371',-0.269
'0:00.372',-0.270
'0:00.373',-0.267
'0:00.374',-0.263
'0:00.375',-0.262
'0:00.376',-0.264
'0:00.377',-0.250
'0:00.378',-0.245
'0:00.379',-0.263
'0:00.380',-0.271
'0:00.381',-0.274
'0:00.382',-0.279
'0:00.383',-0.273
'0:00.384',-0.270
'0:00.385',-0.271
'0:00.386',-0.272
'0:00.387',-0.268
'0:00.388',-0.263
'0:00.389',-0.251
'0:00.390',-0.239
'0:00.391',-0.249
'0:00.392',-0.263
'0:00.393',-0.270
'0:00.394',-0.267
'0:00.395',-0.253
'0:00.396',-0.253
'0:00.397',-0.257
'0:00.398',-0.244
'0:00.399',-0.244
'0:00.400',-0.255
'0:00.401',-0.239
'0:00.402',-0.230
'0:00.403',-0.256
'0:00.404',-0.267
'0:00.405',-0.244
'0:00.406',-0.234
'0:00.407',-0.243
'0:00.408',-0.247
'0:00.409',-0.245
'0:00.410',-0.237
'0:00.411',-0.234
'0:00.412',-0.237
'0:00.413',-0.236
'0:00.414',-0.234
'0:00.415',-0.229
'0:00.416',-0.225
'0:00.417',-0.220
'0:00.418',-0.217
'0:00.419',-0.222
'0:00.420',-0.213
'0:00.421',-0.210
'0:00.422',-0.223
'0:00.423',-0.222
'0:00.424',-0.212
'0:00.425',-0.217
'0:00.426',-0.229
'0:00.427',-0.226
'0:00.428',-0.224
'0:00.429',-0.227
'0:00.430',-0.221
'0:00.431',-0.214
'0:00.432',-0.204
'0:00.433',-0.195
'0:00.434',-0.198
'0:00.435',-0.199
'0:00.436',-0.200
'0:00.437',-0.202
'0:00.438',-0.189
'0:00.439',-0.188
'0:00.440',-0.202
'0:00.441',-0.197
'0:00.442',-0.189
'0:00.443',-0.194
'0:00.444',-0.194
'0:00.445',-0.194
'0:00.446',-0.188
'0:00.447',-0.182
'0:00.448',-0.184
'0:00.449',-0.179
'0:00.450',-0.172
'0:00.451',-0.169
'0:00.452',-0.167
'0:00.453',-0.143
'0:00.454',-0.141
'0:00.455',-0.158
'0:00.456',-0.155
'0:00.457',-0.148
'0:00.458',-0.141
'0:00.459',-0.140
'0:00.460',-0.134
'0:00.461',-0.131
'0:00.462',-0.137
'0:00.463',-0.128
'0:00.464',-0.119
'0:00.465',-0.124
'0:00.466',-0.117
'0:00.467',-0.114
'0:00.468',-0.118
'0:00.469',-0.110
'0:00.470',-0.098
'0:00.471',-0.095
'0:00.472',-0.100
'0:00.473',-0.095
'0:00.474',-0.087
'0:00.475',-0.086
'0:00.476',-0.084
'0:00.477',-0.081
'0:00.478',-0.073
'0:00.479',-0.073
'0:00.480',-0.076
'0:00.481',-0.085
'0:00.482',-0.097
'0:00.483',-0.085
'0:00.484',-0.108
'0:00.485',-0.129
'0:00.486',-0.101
'0:00.487',-0.095
'0:00.488',-0.102
'0:00.489',-0.101
'0:00.490',-0.100
'0:00.491',-0.090
'0:00.492',-0.082
'0:00.493',-0.080
'0:00.494',-0.073
'0:00.495',-0.077
'0:00.496',-0.092
'0:00.497',-0.086
'0:00.498',-0.079
'0:00.499',-0.100
'0:00.500',-0.102
'0:00.501',-0.091
'0:00.502',-0.094
'0:00.503',-0.103
'0:00.504',-0.114
'0:00.505',-0.111
'0:00.506',-0.114
'0:00.507',-0.103
'0:00.508',-0.096
'0:00.509',-0.089
'0:00.510',-0.085
'0:00.511',-0.095
'0:00.512',-0.094
'0:00.513',-0.097
'0:00.514',-0.098
'0:00.515',-0.095
'0:00.516',-0.098
'0:00.517',-0.110
'0:00.518',-0.107
'0:00.519',-0.106
'0:00.520',-0.107
'0:00.521',-0.104
'0:00.522',-0.115
'0:00.523',-0.117
'0:00.524',-0.116
'0:00.525',-0.124
'0:00.526',-0.132
'0:00.527',-0.136
'0:00.528',-0.142
'0:00.529',-0.132
'0:00.530',-0.134
'0:00.531',-0.149
'0:00.532',-0.156
'0:00.533',-0.163
'0:00.534',-0.166
'0:00.535',-0.167
'0:00.536',-0.172
'0:00.537',-0.179
'0:00.538',-0.179
'0:00.539',-0.181
'0:00.540',-0.190
'0:00.541',-0.199
'0:00.542',-0.197
'0:00.543',-0.201
'0:00.544',-0.209
'0:00.545',-0.213
'0:00.546',-0.217
'0:00.547',-0.222
'0:00.548',-0.232
'0:00.549',-0.236
'0:00.550',-0.233
'0:00.551',-0.230
'0:00.552',-0.223
'0:00.553',-0.221
'0:00.554',-0.234
'0:00.555',-0.236
'0:00.556',-0.232
'0:00.557',-0.230
'0:00.558',-0.226
'0:00.559',-0.231
'0:00.560',-0.230
'0:00.561',-0.233
'0:00.562',-0.228
'0:00.563',-0.220
'0:00.564',-0.219
'0:00.565',-0.222
'0:00.566',-0.238
'0:00.567',-0.237
'0:00.568',-0.227
'0:00.569',-0.216
'0:00.570',-0.215
'0:00.571',-0.226
'0:00.572',-0.231
'0:00.573',-0.235
'0:00.574',-0.238
'0:00.575',-0.238
'0:00.576',-0.232
'0:00.577',-0.223
'0:00.578',-0.212
'0:00.579',-0.218
'0:00.580',-0.228
'0:00.581',-0.232
'0:00.582',-0.230
'0:00.583',-0.221
'0:00.584',-0.232
'0:00.585',-0.246
'0:00.586',-0.240
'0:00.587',-0.234
'0:00.588',-0.233
'0:00.589',-0.231
'0:00.590',-0.231
'0:00.591',-0.223
'0:00.592',-0.223
'0:00.593',-0.229
'0:00.594',-0.221
'0:00.595',-0.216
'0:00.596',-0.222
'0:00.597',-0.216
'0:00.598',-0.209
'0:00.599',-0.216
'0:00.600',-0.224
'0:00.601',-0.237
'0:00.602',-0.248
'0:00.603',-0.257
'0:00.604',-0.275
'0:00.605',-0.297
'0:00.606',-0.321
'0:00.607',-0.340
'0:00.608',-0.359
'0:00.609',-0.376
'0:00.610',-0.391
'0:00.611',-0.402
'0:00.612',-0.417
'0:00.613',-0.427
'0:00.614',-0.432
'0:00.615',-0.446
'0:00.616',-0.461
'0:00.617',-0.469
'0:00.618',-0.465
'0:00.619',-0.477
'0:00.620',-0.489
'0:00.621',-0.486
'0:00.622',-0.487
'0:00.623',-0.483
'0:00.624',-0.486
'0:00.625',-0.490
'0:00.626',-0.484
'0:00.627',-0.478
'0:00.628',-0.472
'0:00.629',-0.456
'0:00.630',-0.440
'0:00.631',-0.426
'0:00.632',-0.406
'0:00.633',-0.392
'0:00.634',-0.389
'0:00.635',-0.379
'0:00.636',-0.363
'0:00.637',-0.343
'0:00.638',-0.320
'0:00.639',-0.299
'0:00.640',-0.277
'0:00.641',-0.266
'0:00.642',-0.269
'0:00.643',-0.275
'0:00.644',-0.280
'0:00.645',-0.284
'0:00.646',-0.294
'0:00.647',-0.316
'0:00.648',-0.355
'0:00.649',-0.396
'0:00.650',-0.433
'0:00.651',-0.467
'0:00.652',-0.474
'0:00.653',-0.487
'0:00.654',-0.508
'0:00.655',-0.536
'0:00.656',-0.569
'0:00.657',-0.589
'0:00.658',-0.629
'0:00.659',-0.667
'0:00.660',-0.674
'0:00.661',-0.669
'0:00.662',-0.684
'0:00.663',-0.677
'0:00.664',-0.659
'0:00.665',-0.670
'0:00.666',-0.661
'0:00.667',-0.660
'0:00.668',-0.647
'0:00.669',-0.622
'0:00.670',-0.596
'0:00.671',-0.585
'0:00.672',-0.580
'0:00.673',-0.554
'0:00.674',-0.536
'0:00.675',-0.506
'0:00.676',-0.511
'0:00.677',-0.502
'0:00.678',-0.485
'0:00.679',-0.486
'0:00.680',-0.485
'0:00.681',-0.507
'0:00.682',-0.522
'0:00.683',-0.521
'0:00.684',-0.511
'0:00.685',-0.492
'0:00.686',-0.481
'0:00.687',-0.479
'0:00.688',-0.466
'0:00.689',-0.450
'0:00.690',-0.434
'0:00.691',-0.430
'0:00.692',-0.430
'0:00.693',-0.421
'0:00.694',-0.414
'0:00.695',-0.404
'0:00.696',-0.400
'0:00.697',-0.404
'0:00.698',-0.399
'0:00.699',-0.384
'0:00.700',-0.400
'0:00.701',-0.432
'0:00.702',-0.434
'0:00.703',-0.424
'0:00.704',-0.409
'0:00.705',-0.407
'0:00.706',-0.409
'0:00.707',-0.401
'0:00.708',-0.390
'0:00.709',-0.363
'0:00.710',-0.343
'0:00.711',-0.331
'0:00.712',-0.324
'0:00.713',-0.313
'0:00.714',-0.291
'0:00.715',-0.270
'0:00.716',-0.254
'0:00.717',-0.238
'0:00.718',-0.222
'0:00.719',-0.221
'0:00.720',-0.212
'0:00.721',-0.202
'0:00.722',-0.197
'0:00.723',-0.188
'0:00.724',-0.182
'0:00.725',-0.176
'0:00.726',-0.166
'0:00.727',-0.171
'0:00.728',-0.180
'0:00.729',-0.157
'0:00.730',-0.157
'0:00.731',-0.179
'0:00.732',-0.169
'0:00.733',-0.159
'0:00.734',-0.164
'0:00.735',-0.169
'0:00.736',-0.175
'0:00.737',-0.168
'0:00.738',-0.163
'0:00.739',-0.171
'0:00.740',-0.165
'0:00.741',-0.159
'0:00.742',-0.166
'0:00.743',-0.172
'0:00.744',-0.172
'0:00.745',-0.167
'0:00.746',-0.166
'0:00.747',-0.160
'0:00.748',-0.160
'0:00.749',-0.164
'0:00.750',-0.161
'0:00.751',-0.166
'0:00.752',-0.165
'0:00.753',-0.157
'0:00.754',-0.153
'0:00.755',-0.150
'0:00.756',-0.163
'0:00.757',-0.158
'0:00.758',-0.138
'0:00.759',-0.168
'0:00.760',-0.188
'0:00.761',-0.177
'0:00.762',-0.173
'0:00.763',-0.172
'0:00.764',-0.176
'0:00.765',-0.174
'0:00.766',-0.173
'0:00.767',-0.175
'0:00.768',-0.177
'0:00.769',-0.173
'0:00.770',-0.170
'0:00.771',-0.170
'0:00.772',-0.167
'0:00.773',-0.171
'0:00.774',-0.169
'0:00.775',-0.164
'0:00.776',-0.161
'0:00.777',-0.158
'0:00.778',-0.160
'0:00.779',-0.163
'0:00.780',-0.161
'0:00.781',-0.163
'0:00.782',-0.164
'0:00.783',-0.166
'0:00.784',-0.172
'0:00.785',-0.172
'0:00.786',-0.162
'0:00.787',-0.159
'0:00.788',-0.174
'0:00.789',-0.164
'0:00.790',-0.163
'0:00.791',-0.166
'0:00.792',-0.154
'0:00.793',-0.172
'0:00.794',-0.166
'0:00.795',-0.159
'0:00.796',-0.162
'0:00.797',-0.159
'0:00.798',-0.161
'0:00.799',-0.161
'0:00.800',-0.162
'0:00.801',-0.164
'0:00.802',-0.166
'0:00.803',-0.165
'0:00.804',-0.172
'0:00.805',-0.181
'0:00.806',-0.180
'0:00.807',-0.180
'0:00.808',-0.180
'0:00.809',-0.175
'0:00.810',-0.176
'0:00.811',-0.176
'0:00.812',-0.172
'0:00.813',-0.173
'0:00.814',-0.175
'0:00.815',-0.174
'0:00.816',-0.180
'0:00.817',-0.180
'0:00.818',-0.180
'0:00.819',-0.182
'0:00.820',-0.183
'0:00.821',-0.188
'0:00.822',-0.193
'0:00.823',-0.192
'0:00.824',-0.195
'0:00.825',-0.201
'0:00.826',-0.198
'0:00.827',-0.197
'0:00.828',-0.205
'0:00.829',-0.209
'0:00.830',-0.210
'0:00.831',-0.211
'0:00.832',-0.191
'0:00.833',-0.191
'0:00.834',-0.207
'0:00.835',-0.224
'0:00.836',-0.233
'0:00.837',-0.230
'0:00.838',-0.231
'0:00.839',-0.226
'0:00.840',-0.227
'0:00.841',-0.224
'0:00.842',-0.232
'0:00.843',-0.254
'0:00.844',-0.245
'0:00.845',-0.239
'0:00.846',-0.246
'0:00.847',-0.256
'0:00.848',-0.272
'0:00.849',-0.268
'0:00.850',-0.259
'0:00.851',-0.263
'0:00.852',-0.265
'0:00.853',-0.265
'0:00.854',-0.264
'0:00.855',-0.262
'0:00.856',-0.261
'0:00.857',-0.265
'0:00.858',-0.273
'0:00.859',-0.274
'0:00.860',-0.277
'0:00.861',-0.283
'0:00.862',-0.286
'0:00.863',-0.285
'0:00.864',-0.288
'0:00.865',-0.314
'0:00.866',-0.321
'0:00.867',-0.317
'0:00.868',-0.319
'0:00.869',-0.314
'0:00.870',-0.315
'0:00.871',-0.316
'0:00.872',-0.319
'0:00.873',-0.316
'0:00.874',-0.321
'0:00.875',-0.325
'0:00.876',-0.326
'0:00.877',-0.332
'0:00.878',-0.333
'0:00.879',-0.342
'0:00.880',-0.349
'0:00.881',-0.347
'0:00.882',-0.340
'0:00.883',-0.327
'0:00.884',-0.329
'0:00.885',-0.350
'0:00.886',-0.359
'0:00.887',-0.369
'0:00.888',-0.373
'0:00.889',-0.366
'0:00.890',-0.366
'0:00.891',-0.362
'0:00.892',-0.361
'0:00.893',-0.362
'0:00.894',-0.361
'0:00.895',-0.361
'0:00.896',-0.365
'0:00.897',-0.363
'0:00.898',-0.361
'0:00.899',-0.365
'0:00.900',-0.364
'0:00.901',-0.361
'0:00.902',-0.355
'0:00.903',-0.360
'0:00.904',-0.381
'0:00.905',-0.390
'0:00.906',-0.388
'0:00.907',-0.388
'0:00.908',-0.387
'0:00.909',-0.384
'0:00.910',-0.386
'0:00.911',-0.382
'0:00.912',-0.380
'0:00.913',-0.380
'0:00.914',-0.379
'0:00.915',-0.380
'0:00.916',-0.376
'0:00.917',-0.373
'0:00.918',-0.369
'0:00.919',-0.367
'0:00.920',-0.370
'0:00.921',-0.371
'0:00.922',-0.354
'0:00.923',-0.344
'0:00.924',-0.369
'0:00.925',-0.381
'0:00.926',-0.376
'0:00.927',-0.389
'0:00.928',-0.388
'0:00.929',-0.377
'0:00.930',-0.365
'0:00.931',-0.361
'0:00.932',-0.361
'0:00.933',-0.361
'0:00.934',-0.372
'0:00.935',-0.364
'0:00.936',-0.361
'0:00.937',-0.356
'0:00.938',-0.340
'0:00.939',-0.334
'0:00.940',-0.342
'0:00.941',-0.352
'0:00.942',-0.351
'0:00.943',-0.347
'0:00.944',-0.345
'0:00.945',-0.343
'0:00.946',-0.341
'0:00.947',-0.340
'0:00.948',-0.332
'0:00.949',-0.332
'0:00.950',-0.337
'0:00.951',-0.334
'0:00.952',-0.331
'0:00.953',-0.325
'0:00.954',-0.332
'0:00.955',-0.336
'0:00.956',-0.331
'0:00.957',-0.328
'0:00.958',-0.322
'0:00.959',-0.322
'0:00.960',-0.319
'0:00.961',-0.318
'0:00.962',-0.315
'0:00.963',-0.313
'0:00.964',-0.320
'0:00.965',-0.312
'0:00.966',-0.314
'0:00.967',-0.330
'0:00.968',-0.322
'0:00.969',-0.309
'0:00.970',-0.306
'0:00.971',-0.300
'0:00.972',-0.297
'0:00.973',-0.289
'0:00.974',-0.296
'0:00.975',-0.308
'0:00.976',-0.292
'0:00.977',-0.278
'0:00.978',-0.270
'0:00.979',-0.257
'0:00.980',-0.288
'0:00.981',-0.310
'0:00.982',-0.297
'0:00.983',-0.282
'0:00.984',-0.266
'0:00.985',-0.288
'0:00.986',-0.270
'0:00.987',-0.253
'0:00.988',-0.287
'0:00.989',-0.292
'0:00.990',-0.281
'0:00.991',-0.275
'0:00.992',-0.269
'0:00.993',-0.269
'0:00.994',-0.266
'0:00.995',-0.258
'0:00.996',-0.258
'0:00.997',-0.254
'0:00.998',-0.257
'0:00.999',-0.257
'0:01.000',-0.257
'0:01.001',-0.261
'0:01.002',-0.251
'0:01.003',-0.250
'0:01.004',-0.252
'0:01.005',-0.257
'0:01.006',-0.260
'0:01.007',-0.259
'0:01.008',-0.260
'0:01.009',-0.253
'0:01.010',-0.251
'0:01.011',-0.251
'0:01.012',-0.246
'0:01.013',-0.249
'0:01.014',-0.251
'0:01.015',-0.247
'0:01.016',-0.248
'0:01.017',-0.242
'0:01.018',-0.239
'0:01.019',-0.241
'0:01.020',-0.241
'0:01.021',-0.243
'0:01.022',-0.241
'0:01.023',-0.245
'0:01.024',-0.249
'0:01.025',-0.247
'0:01.026',-0.248
'0:01.027',-0.256
'0:01.028',-0.265
'0:01.029',-0.254
'0:01.030',-0.242
'0:01.031',-0.246
'0:01.032',-0.239
'0:01.033',-0.244
'0:01.034',-0.241
'0:01.035',-0.234
'0:01.036',-0.233
'0:01.037',-0.225
'0:01.038',-0.230
'0:01.039',-0.241
'0:01.040',-0.234
'0:01.041',-0.228
'0:01.042',-0.234
'0:01.043',-0.234
'0:01.044',-0.243
'0:01.045',-0.252
'0:01.046',-0.243
'0:01.047',-0.236
'0:01.048',-0.235
'0:01.049',-0.230
'0:01.050',-0.229
'0:01.051',-0.240
'0:01.052',-0.234
'0:01.053',-0.228
'0:01.054',-0.227
'0:01.055',-0.232
'0:01.056',-0.233
'0:01.057',-0.222
'0:01.058',-0.221
'0:01.059',-0.226
'0:01.060',-0.234
'0:01.061',-0.233
'0:01.062',-0.231
'0:01.063',-0.227
'0:01.064',-0.215
'0:01.065',-0.224
'0:01.066',-0.231
'0:01.067',-0.231
'0:01.068',-0.233
'0:01.069',-0.233
'0:01.070',-0.230
'0:01.071',-0.231
'0:01.072',-0.231
'0:01.073',-0.229
'0:01.074',-0.228
'0:01.075',-0.228
'0:01.076',-0.227
'0:01.077',-0.211
'0:01.078',-0.210
'0:01.079',-0.222
'0:01.080',-0.225
'0:01.081',-0.223
'0:01.082',-0.222
'0:01.083',-0.234
'0:01.084',-0.234
'0:01.085',-0.226
'0:01.086',-0.223
'0:01.087',-0.210
'0:01.088',-0.214
'0:01.089',-0.224
'0:01.090',-0.206
'0:01.091',-0.215
'0:01.092',-0.236
'0:01.093',-0.233
'0:01.094',-0.220
'0:01.095',-0.201
'0:01.096',-0.211
'0:01.097',-0.214
'0:01.098',-0.217
'0:01.099',-0.221
'0:01.100',-0.221
'0:01.101',-0.236
'0:01.102',-0.216
'0:01.103',-0.220
'0:01.104',-0.233
'0:01.105',-0.220
'0:01.106',-0.217
'0:01.107',-0.215
'0:01.108',-0.217
'0:01.109',-0.214
'0:01.110',-0.211
'0:01.111',-0.211
'0:01.112',-0.205
'0:01.113',-0.204
'0:01.114',-0.204
'0:01.115',-0.204
'0:01.116',-0.204
'0:01.117',-0.199
'0:01.118',-0.199
'0:01.119',-0.201
'0:01.120',-0.203
'0:01.121',-0.202
'0:01.122',-0.199
'0:01.123',-0.188
'0:01.124',-0.188
'0:01.125',-0.203
'0:01.126',-0.204
'0:01.127',-0.203
'0:01.128',-0.201
'0:01.129',-0.199
'0:01.130',-0.203
'0:01.131',-0.183
'0:01.132',-0.159
'0:01.133',-0.169
'0:01.134',-0.183
'0:01.135',-0.183
'0:01.136',-0.182
'0:01.137',-0.176
'0:01.138',-0.175
'0:01.139',-0.176
'0:01.140',-0.174
'0:01.141',-0.175
'0:01.142',-0.172
'0:01.143',-0.173
'0:01.144',-0.170
'0:01.145',-0.164
'0:01.146',-0.168
'0:01.147',-0.177
'0:01.148',-0.183
'0:01.149',-0.182
'0:01.150',-0.178
'0:01.151',-0.172
'0:01.152',-0.171
'0:01.153',-0.172
'0:01.154',-0.168
'0:01.155',-0.164
'0:01.156',-0.163
'0:01.157',-0.164
'0:01.158',-0.165
'0:01.159',-0.166
'0:01.160',-0.168
'0:01.161',-0.169
'0:01.162',-0.167
